gene,module
CEP55,7
BUB1B,7
DLGAP5,7
KIF20A,7
TTK,7
CENPA,7
UBE2C,7
ANLN,7
DTL,7
CDKN3,7
KIAA0101,7
ASPM,7
BUB1,7
RRM2,7
MKI67,7
KIF11,7
TPX2,7
CCNA2,7
MLF1IP,7
CCNB1,7
CENPF,7
IGLL3,8
POU2AF1,8
IGJ,8
TNFRSF17,8
LOC100291682,8
IGLV1-44,8
MGC29506,8
IGKC,8
IGL@,8
IGHM,8
IGHA1,8
CD79A,8
FLJ40330,8
PODXL,9
FGF1,9
C4orf31,9
PTPRO,9
NTNG1,9
NPHS1,9
NPHS2,9
ST6GALNAC3,9
PLA2R1,9
WT1,9
GJA3,9
KLK7,9
PTPRQ,9
RPS4Y1,10
EIF1AY,10
DDX3Y,10
USP9Y,10
KDM5D,10
CYorf15B,10
ZFY,10
CYorf15A,10
UTY,10
TCF4,11
FRMD6,11
CNRIP1,11
SGK269,11
CALHM2,11
TNNI3K,12
SLC7A13,12
SLC5A1,12
SLC5A8,12
ELTD1,13
RHOJ,13
S1PR1,13
FAM43A,13
CPA3,14
RGS13,14
MS4A2,14
HDC,14
DDAH1,15
ABCD3,15
IFT88,15
RBM47,15
CD24,16
GALNT3,16
GNAI1,16
MT1G,17
MT1F,17
MT1H,17
C11orf1,18
HINT2,18
C11orf71,18
C11orf92,19
BSND,19
VEPH1,19
SNTA1,20
MACROD1,20
CRAT,20
COL4A2,21
COL4A1,21
TMEM30A,22
SS18,22
S100A9,23
S100A8,23
CCDC80,24
PRRX1,24
ECHDC1,25
C6orf211,25
CPVL,26
ASPHD2,26
CCL21,27
CCL19,27
WFDC2,28
SLC34A2,28
HIF1A,29
ADAM10,29
CXCL1,30
CXCL6,30
IFI35,31
IRF9,31
MFAP5,32
PDGFRL,32
GSTM4,33
SLC25A11,33
AKR1B10,34
AKR1B15,34
PCK1,35
CYP4A11,35
CCDC148,36
PKP4,36
FCRL5,37
DERL3,37
BLK,38
FCRL1,38
NPY1R,39
NPY5R,39
MS4A1,40
TLR10,40
MT1M,41
MT1JP,41
CD1C,42
CD1E,42
AQP2,43
AQP3,43
HOXD10,44
HOXD11,44
NDUFS1,45
ETFDH,45
DBT,46
MCCC1,46
IFT80,47
FZD6,47
HS3ST1,48
NFKBIZ,48
RBMS3,49
RUNX1T1,49
SELENBP1,50
GGT6,50
ACSBG2,51
SLC5A11,51
